poblacion,ancho,largo,m2_predio,locales,niveles
1484005,47,50,2350,35,2
1484005,79,56,4424,12,1
1484005,93,95,8835,9,1
1484005,101,85,8585,12,1
1484005,60,30,1800,14,1
1484005,81,47,3807,16,2
1484005,41,86,3526,8,2
1484005,35,32,1133,10,1
1484005,211,70,14770,160,1
1484005,97,131,12753,120,1
1484005,61,64,3923,12,1
1484005,45,62,2790,17,2
1484005,125,85,10583,52,2
1484005,63,139,8723,80,2
1484005,50,66,3280,25,2
1484005,74,70,5180,15,2
1484005,107,77,8232,27,2
1484005,222,32,7111,32,2
653046,195,130,25350,5,1
653046,92,98,9016,3,1
653046,21,16,336,6,2
653046,24,42,1008,17,2
653046,221,160,35312,200,1
653046,149,109,16241,210,2
653046,68,53,3544,14,2
653046,264,108,28512,200,1
260075,52,29,1519,20,2
260075,52,52,2716,17,1
260075,18,51,909,7,1
260075,79,25,1959,26,2
260075,52,64,3341,40,2
260075,51,50,2529,10,1
260075,40,50,2000,20,2
260075,201,117,23598,21,1
260075,48,68,3274,20,2
260075,26,53,1370,14,2
260075,76,50,3800,10,1
260075,74,58,4282,13,2
260075,58,40,2320,8,1
59124,47,40,1880,10,2
59124,74,71,5206,10,1
653046,89,62,5551,20,2
1484005,150,62,9351,25,2
1484005,50,78,3901,16,2
1484005,189,153,28946,26,1
1484005,79,100,7883,35,2
1484005,243,362,88053,40,2
1484005,160,79,12576,160,3
1484005,154,82,12608,120,2
202694,17,110,1870,20,1
202694,235,226,53110,150,2
202694,370,670,247900,250,1
202694,35,93,3255,20,2
202694,72,161,11592,20,2
202694,15,116,1740,10,1
202694,20,65,1300,10,1
202694,27,60,1620,10,1
202694,70,120,8400,20,2
202694,16,52,832,10,2
202694,78,195,15210,25,1
202694,20,47,940,15,2
202694,20,54,1080,15,2
202694,29,60,1740,10,2
202694,260,450,117000,80,2
202694,17,78,1326,10,1
202694,70,118,8260,20,1
202694,240,455,109200,30,1
202694,25,67,1675,14,3
202694,73,140,10220,12,1
202694,20,21,420,8,2
202694,195,162,31590,85,3
202694,106,72,7632,22,3
202694,53,50,2650,13,3
202694,32,10,320,27,3
202694,84,72,6048,80,3
202694,28,14,392,12,2
202694,95,53,5035,70,2
202694,37,58,2146,40,2
202694,47,42,1974,15,1
202694,10,10,100,3,4
202694,30,14,420,10,1
202694,23,8,184,20,2
250141,84,75,6300,30,2
250141,33,18,594,12,2
250141,51,121,6171,30,3
250141,39,27,1053,18,3
250141,36,8,288,5,1
250141,54,52,2808,30,1
250141,26,7,182,8,2
250141,35,33,1155,12,2
136285,25,45,1125,10,2
136285,20,19,380,3,3
136285,78,26,2028,6,4
136285,82,17,1394,6,3
258505,45,25,1110,14,3
258505,88,71,6309,33,3
258505,30,59,1764,22,1
258505,51,38,1914,27,3
258505,160,65,10321,5,1
258505,98,63,6153,21,4
258505,42,38,1612,6,1
258505,41,55,2226,20,3
258505,22,38,848,8,2
258505,18,20,356,2,1
258505,60,50,3032,12,3
258505,26,43,1098,6,1
258505,53,188,9903,23,2
258505,98,63,6172,6,1
258505,50,86,4241,11,1
258505,32,33,1049,7,2
258505,27,18,472,8,2
258505,42,15,633,6,2
161069,151,88,13228,12,1
161069,25,20,496,4,2
161069,36,41,1475,10,2
161069,87,80,7017,17,1
161069,27,19,515,8,1
161069,141,93,13177,30,1
8855000,161,48,7726,32,2
8855000,111,111,12325,35,2
8855000,173,207,35824,40,2
8855000,74,48,3571,32,5
8855000,78,33,2578,14,2
8855000,175,67,11772,36,3
8855000,22,42,920,18,2
8855000,109,78,8496,10,2
8855000,54,45,2440,13,2
8855000,81,48,3914,12,3
8855000,61,82,4963,15,2
8855000,46,101,4630,10,3
8855000,62,70,4324,15,2
8855000,25,43,1076,8,1
8855000,38,98,3722,25,1
8855000,93,209,19412,43,2
8855000,155,70,10814,12,2
8855000,63,99,6271,22,1
8855000,134,69,9240,38,2
8855000,29,24,694,22,2
8855000,30,25,739,5,3
8855000,50,24,1217,14,2
8855000,104,109,11327,37,3
8855000,22,45,962,8,3
8855000,161,85,13787,14,2
8855000,45,26,1179,9,1
8855000,50,84,4167,34,3
8855000,83,95,7887,22,1
8855000,86,78,6669,13,1
8855000,64,67,4313,32,1
8855000,57,80,4589,25,1
8855000,65,65,4257,16,2
8855000,16,20,332,8,1
8855000,51,229,11591,47,1
8855000,34,31,1057,17,2
8855000,141,124,17528,26,1
8855000,47,100,4743,17,2
8855000,49,37,1793,5,2
8855000,36,21,758,15,3
8855000,46,30,1384,28,1
8855000,30,43,1311,12,2
8855000,16,57,902,16,1
8855000,60,207,12333,48,1
8855000,38,24,917,12,3
8855000,55,58,3200,21,1
8855000,37,77,2828,42,2
8855000,57,21,1211,14,2
8855000,84,66,5527,15,2
8855000,47,35,1660,11,3
8855000,28,63,1796,17,2
8855000,42,52,2225,10,2
8855000,27,74,1984,10,2
8855000,64,96,6111,15,1
8855000,33,46,1512,9,2
8855000,34,31,1039,4,2
8855000,39,40,1575,11,3
8855000,75,73,5469,15,2
8855000,68,42,2835,12,4
8855000,20,43,851,10,4
8855000,21,18,375,9,3
8855000,58,28,1642,12,2
8855000,74,42,3132,10,1
8855000,93,106,9956,11,1
1110890,75,40,3000,20,2
1110890,560,650,364000,200,2
1110890,510,400,204000,180,2
1110890,60,80,4800,14,2
1110890,90,200,18000,100,2
1110890,70,130,9100,15,1
1110890,40,40,1600,10,1
1110890,50,50,2500,18,2
1110890,20,50,1000,10,2
1110890,10,300,3000,15,2
1110890,20,30,600,6,2
1110890,10,40,400,5,1
1110890,20,50,1000,7,1
1110890,107,128,13696,40,2
1110890,46,50,2300,7,1
1110890,30,33,990,16,2
1110890,85,102,8670,12,1
1110890,38,25,950,40,1
1110890,74,48,3552,26,2
1110890,18,22,396,8,4
1110890,42,26,1092,5,1
1110890,52,35,1820,8,1
1110890,346,206,71276,70,1
1110890,33,92,3036,30,2
1110890,30,44,1320,30,3
1110890,58,35,2030,33,3
1110890,57,36,2052,10,1
1110890,33,36,1188,4,1
1110890,45,40,1800,4,1
1110890,43,56,2408,10,2
1110890,30,31,930,8,2
1110890,60,42,2520,15,1
1110890,32,52,1664,10,2
1110890,45,50,2250,8,1
1110890,58,47,2726,24,2
1110890,26,13,338,5,1
1110890,50,46,2300,30,2
1110890,78,110,8580,12,1
1110890,40,50,2000,26,1
1110890,20,20,400,6,3
1110890,67,30,2010,12,3
1110890,42,22,924,12,3
1110890,60,90,5400,26,2
1110890,40,46,1840,8,1
1110890,20,30,600,6,2
1110890,52,50,2600,16,1
1110890,90,23,2070,24,2
1110890,60,83,4980,16,2
1110890,44,32,1408,20,3
1110890,98,46,4508,8,1
1110890,40,20,800,7,2
1110890,66,20,1320,14,1
1110890,40,37,1480,4,1
1110890,30,17,510,5,1
1110890,46,104,4784,12,1
1110890,29,65,1885,17,2
1110890,136,168,22848,30,1
1110890,63,92,5796,17,2
1110890,37,82,3034,15,2
1110890,14,58,812,5,2
1110890,40,92,3680,10,2
1110890,45,72,3240,18,2
1110890,60,104,6240,10,2
1110890,22,45,990,5,1
